k,hfa,regress,gd_mode,logloss,brier,acc
32,80,0.1,wfe,0.9600513145553542,0.5689205753868849,0.5481049562682215
56,100,0.4,wfe,0.9600578452397782,0.5689798635664131,0.5481049562682215
24,80,0.4,wfe,0.9600580090502295,0.5690045348616161,0.5443565181174511
56,60,0.5,wfe,0.9601182700656032,0.5690293307640456,0.5481049562682215
56,40,0.5,wfe,0.9601230991638336,0.5690367071258265,0.5476884631403582
56,80,0.5,wfe,0.9601483166517762,0.5690454150829105,0.5481049562682215
56,20,0.5,wfe,0.960161832024614,0.5690666187630598,0.5485214493960849
24,80,0.3,wfe,0.9601888243783081,0.5691358369722828,0.5476884631403582
64,40,0.2,wfe,0.9601937288479804,0.5690768294303543,0.5501874219075386
64,20,0.2,wfe,0.9602065763084007,0.5690849175055914,0.550603915035402
24,100,0.5,wfe,0.960207391883596,0.5690699421007082,0.5418575593502707
64,60,0.2,wfe,0.9602085532273538,0.5690871470053589,0.5514369012911287
56,100,0.5,wfe,0.9602132661537787,0.5690852594243755,0.5476884631403582
24,60,0.2,wfe,0.9602253614487432,0.5691637156615239,0.5435235318617243
56,0,0.5,wfe,0.9602325596227826,0.5691175388312016,0.5485214493960849
64,0,0.2,wfe,0.9602443934476865,0.5691093612311996,0.5510204081632653
64,40,0.1,wfe,0.9602523117175352,0.569052286863945,0.5531028738025823
64,80,0.2,wfe,0.9602532866655873,0.5691176461731353,0.5531028738025823
64,20,0.1,wfe,0.9602564946754296,0.5690541559896409,0.5547688463140358
64,60,0.1,wfe,0.9602780158499047,0.5690706268256599,0.5539358600583091
64,0,0.1,wfe,0.9602876816842373,0.5690740708209439,0.5543523531861724
64,100,0.2,wfe,0.9603295772737841,0.5691697244033448,0.5551853394418992
64,80,0.1,wfe,0.9603360697936331,0.5691110814795309,0.5539358600583091
24,100,0.4,wfe,0.9603433287575645,0.5692075329437856,0.5447730112453144
32,100,0.1,wfe,0.9603751782248982,0.569151418561128,0.5468554768846314
64,100,0.1,wfe,0.9604283464133097,0.5691751608950246,0.5547688463140358
64,60,0.3,wfe,0.9604349926088975,0.5692646625945017,0.5489379425239483
64,40,0.3,wfe,0.9604377796716655,0.5692676426035784,0.5489379425239483
64,80,0.3,wfe,0.9604613426502782,0.5692811481140957,0.5493544356518117
64,20,0.3,wfe,0.960467623109754,0.5692884114143423,0.5497709287796751
24,100,0.3,wfe,0.9605151906629561,0.5693705107566569,0.5472719700124948
24,80,0.2,wfe,0.9605180718163755,0.5693747466069131,0.5426905456059975
64,100,0.3,wfe,0.9605182589045782,0.5693183607850366,0.5518533944189921
64,0,0.3,wfe,0.9605218750897327,0.5693249546654436,0.550603915035402
64,60,0.4,wfe,0.9606509163522302,0.569419001110437,0.5493544356518117
64,80,0.4,wfe,0.9606576714984131,0.5694203817568684,0.5497709287796751
64,40,0.4,wfe,0.9606730119609439,0.5694367724264585,0.550603915035402
64,100,0.4,wfe,0.9606945019526921,0.569442037203021,0.5489379425239483
64,20,0.4,wfe,0.9607219948739706,0.5694720964131927,0.5489379425239483
64,0,0.4,wfe,0.960795234303097,0.5695229645851553,0.5497709287796751
64,80,0.5,wfe,0.9608199738419692,0.5695338008889828,0.546438983756768
