sezon,takim,elo
2023-2024,Çanakkale TSK,1416.4463920009014
2023-2024,Çetinkaya TSK,1594.8318313629306
2024-2025,Alsancak Yeşilova SK,1576.8203828421151
2024-2025,Binatlı YSK,1519.100054779213
2024-2025,Cihangir GSK,1635.7188036061336
2024-2025,Değirmenlik SK,1529.6523073764633
2024-2025,Dipkarpaz SK,1234.0971656840034
2024-2025,Doğan Türk Birliği,1781.8343387430057
2024-2025,Dumlupınar TSK,1448.8410946366441
2024-2025,Düzkaya KOSK,1373.3845645724614
2024-2025,Esentepe KSKK,1492.8999761353816
2024-2025,Gençlik Gücü TSK,1563.09175755442
2024-2025,Geçitkale GSK,1381.0721066848155
2024-2025,Gönyeli SK,1440.1735711733766
2024-2025,Göçmenköy İYSK,1468.6643975229906
2024-2025,Hamitköy ŞHSK,1360.813761636432
2024-2025,Karşıyaka SK,1412.7657749161815
2024-2025,Kozanköy KSK,1509.0065808681557
2024-2025,Küçük Kaymaklı TSK,1535.752580709272
2024-2025,L. Gençler Birliği SK,1271.0638548997727
2024-2025,Lapta Türk Birliği SK,1293.466047553048
2024-2025,Lefke TSK,1503.611768252303
2024-2025,M. Hacıali Yılmazköy SK,1354.0546226378126
2024-2025,Maraş GSK,1347.704786210607
2024-2025,Mağusa Türk Gücü,1834.787228694479
2024-2025,Mesarya SK,1431.7841595944767
2024-2025,Mormenekşe GBSK,1515.57129092962
2024-2025,Türk Ocağı Limasol SK,1487.4758779636993
2024-2025,Vadili TÇBSK,1107.0204115718896
2024-2025,Yalova SK,1315.876093807006
2024-2025,Yeniboğaziçi DSK,1529.0832272126304
2024-2025,Yenicami AK,1369.4689621114
2024-2025,Çanakkale TSK,982.3956944481636
2024-2025,Çetinkaya TSK,1560.268384220232
2025-2026,Alsancak Yeşilova SK,1443.7713507106484
2025-2026,Aslanköy GSD,1565.7758062065818
2025-2026,Baf Ülkü Yurdu,1498.1232144260634
2025-2026,Binatlı YSK,1421.8388095055338
2025-2026,Cihangir GSK,1785.3149824377506
2025-2026,Değirmenlik SK,1607.2305123853093
2025-2026,Doğan Türk Birliği,1765.3313956297309
2025-2026,Dumlupınar TSK,1515.261546475914
2025-2026,Düzkaya KOSK,1510.7826394262072
2025-2026,Esentepe KSKK,1454.1937801335034
2025-2026,Gençlik Gücü TSK,1790.665795386138
2025-2026,Geçitkale GSK,1379.082008670964
2025-2026,Gönyeli SK,1256.3312940959042
2025-2026,Göçmenköy İYSK,1407.5538578327867
2025-2026,Hamitköy ŞHSK,1117.5253827157578
2025-2026,Kaplıca Karadeniz 61 SK,1123.6848295550021
2025-2026,Karşıyaka SK,1399.7117455359062
2025-2026,Kozanköy KSK,1362.8712033331424
2025-2026,Küçük Kaymaklı TSK,1453.8549761111374
2025-2026,L. Gençler Birliği SK,1479.5057640197156
2025-2026,Lapta Türk Birliği SK,1504.8307108319261
2025-2026,Lefke TSK,1433.8838383575549
2025-2026,M. Hacıali Yılmazköy SK,1400.2890435370152
2025-2026,Maraş GSK,1309.3618754280421
2025-2026,Mağusa Türk Gücü,1666.5882749338298
2025-2026,Mesarya SK,1506.7286120895658
2025-2026,Mormenekşe GBSK,1397.2787454096372
2025-2026,Türk Ocağı Limasol SK,1402.8072286484744
2025-2026,Yalova SK,1383.0414836339155
2025-2026,Yeniboğaziçi DSK,1272.7639415440005
2025-2026,Yenicami AK,1459.8269461865193
2025-2026,Çetinkaya TSK,1500.3174914361896
2026-2027,Akdoğan SK,1374.9453586348288
2026-2027,Alsancak Yeşilova SK,1442.1789049901647
2026-2027,Aslanköy GSD,1537.8535498631188
2026-2027,Baf Ülkü Yurdu,1407.7322940982665
2026-2027,Cihangir GSK,1687.1924616688375
2026-2027,Değirmenlik SK,1612.4206796112771
2026-2027,Dikmen Gücü SK,1448.3184450009908
2026-2027,Doğan Türk Birliği,1692.801393309866
2026-2027,Dumlupınar TSK,1512.0838593961955
2026-2027,Düzkaya KOSK,1429.0555254304747
2026-2027,Esentepe KSKK,1434.3109790283495
2026-2027,Gençlik Gücü TSK,1705.4025738765752
2026-2027,Geçitkale GSK,1314.864748760947
2026-2027,Gönyeli SK,1307.123039348982
2026-2027,Göçmenköy İYSK,1471.3769731821076
2026-2027,Karaoğlanoğlu SK,1489.0948378065277
2026-2027,Karşıyaka SK,1471.875020586218
2026-2027,Küçük Kaymaklı TSK,1425.797535335553
2026-2027,L. Gençler Birliği SK,1501.0588660569088
2026-2027,Lapta Türk Birliği SK,1482.259924661811
2026-2027,Lefke TSK,1447.49096275863
2026-2027,M. Hacıali Yılmazköy SK,1420.9459402155637
2026-2027,Maraş GSK,1298.986219755553
2026-2027,Mağusa Türk Gücü,1631.0513537477332
2026-2027,Mesarya SK,1482.4750886502657
2026-2027,Mormenekşe GBSK,1414.3099677590794
2026-2027,Türk Ocağı Limasol SK,1461.406805167257
2026-2027,Yeniboğaziçi DSK,1281.1210070590616
2026-2027,Yenicami AK,1384.2133667067408
2026-2027,Çetinkaya TSK,1418.9891795975939
