date,sezon,takim,elo
2011-12-11,2011-2012,Düzkaya KOSK,1276.5048035958555
2011-12-11,2011-2012,Gönyeli SK,1294.6341058979183
2011-12-11,2011-2012,Göçmenköy İYSK,1292.1791847363972
2011-12-11,2011-2012,Bostancı Bağcıl SK,1412.2034889665879
2011-12-11,2011-2012,Doğan Türk Birliği,1464.5626416974744
2011-12-11,2011-2012,Çetinkaya TSK,1631.622343325859
2011-12-11,2011-2012,Lefke TSK,1455.742068411144
2011-12-11,2011-2012,Küçük Kaymaklı TSK,1554.3297952070677
2011-12-11,2011-2012,Hamitköy ŞHSK,1340.8350358226364
2011-12-11,2011-2012,Görneç KSK,1413.6085122992147
2011-12-11,2011-2012,Çanakkale TSK,1190.5577060652452
2011-12-11,2011-2012,Binatlı YSK,1367.9150430291897
2011-12-11,2011-2012,Alsancak Yeşilova SK,1323.963367624643
2011-12-11,2011-2012,Mormenekşe GBSK,1488.7780003938972
2011-12-17,2011-2012,Türk Ocağı Limasol SK,1319.1104848492232
2011-12-17,2011-2012,Yenicami AK,1528.6341259124188
2011-12-17,2011-2012,Bostancı Bağcıl SK,1415.7035034278526
2011-12-17,2011-2012,Mağusa Türk Gücü,1530.1373008829946
2011-12-17,2011-2012,Gönyeli SK,1319.2986601559405
2011-12-17,2011-2012,Göçmenköy İYSK,1267.514630478375
2011-12-17,2011-2012,Küçük Kaymaklı TSK,1565.024124062117
2011-12-17,2011-2012,Bellapais Tatlısu HOSK,1338.138130330017
2011-12-17,2011-2012,Görneç KSK,1420.1651718561134
2011-12-17,2011-2012,Çanakkale TSK,1184.0010465083465
2011-12-17,2011-2012,Ozanköy SK,1320.968706942924
2011-12-17,2011-2012,Esentepe KSKK,1427.867260953618
2011-12-17,2011-2012,Yeniboğaziçi DSK,1367.9029123257692
2011-12-17,2011-2012,Türkmenköy ASK,1437.2604995774452
2011-12-18,2011-2012,Çetinkaya TSK,1643.8978772553696
2011-12-18,2011-2012,Lefke TSK,1443.4665344816333
2011-12-18,2011-2012,Lapta Türk Birliği SK,1350.1872069932615
2011-12-18,2011-2012,Doğan Türk Birliği,1482.4711092702776
2011-12-18,2011-2012,Cihangir GSK,1441.8192000585532
2011-12-18,2011-2012,Düzkaya KOSK,1267.5660032876376
2011-12-18,2011-2012,Binatlı YSK,1389.197716207746
2011-12-18,2011-2012,Alsancak Yeşilova SK,1302.6806944460868
2011-12-18,2011-2012,Gençlik Gücü TSK,1520.0794735120392
2011-12-18,2011-2012,Hamitköy ŞHSK,1391.3117233553671
2011-12-18,2011-2012,Dumlupınar TSK,1345.2607269494104
2011-12-18,2011-2012,Serdarlı GB,1464.4740901373427
2011-12-18,2011-2012,Mormenekşe GBSK,1500.8165930923994
2011-12-18,2011-2012,Baf Ülkü Yurdu,1296.6129290473875
2011-12-24,2011-2012,Mağusa Türk Gücü,1537.0884917432966
2011-12-24,2011-2012,Gönyeli SK,1312.3474692956386
2011-12-24,2011-2012,Yenicami AK,1519.427456491354
2011-12-24,2011-2012,Bostancı Bağcıl SK,1424.9101728489175
2011-12-24,2011-2012,Bellapais Tatlısu HOSK,1330.3184212136475
2011-12-24,2011-2012,Çetinkaya TSK,1651.7175863717391
2011-12-24,2011-2012,Göçmenköy İYSK,1298.6076124380857
2011-12-24,2011-2012,Düzkaya KOSK,1236.473021327927
2011-12-24,2011-2012,Doğan Türk Birliği,1435.4653172505004
2011-12-24,2011-2012,Türk Ocağı Limasol SK,1366.1162768690003
2011-12-24,2011-2012,Lefke TSK,1435.1742030263142
2011-12-24,2011-2012,Lapta Türk Birliği SK,1358.4795384485806
2011-12-24,2011-2012,Cihangir GSK,1465.4179558299056
2011-12-24,2011-2012,Küçük Kaymaklı TSK,1541.4253682907645
2011-12-25,2011-2012,Serdarlı GB,1491.9085901810608
2011-12-25,2011-2012,Yeniboğaziçi DSK,1340.468412282051
2011-12-25,2011-2012,Hamitköy ŞHSK,1384.1418325377679
2011-12-25,2011-2012,Ozanköy SK,1328.1385977605232
2011-12-25,2011-2012,Alsancak Yeşilova SK,1305.959898798815
2011-12-25,2011-2012,Görneç KSK,1416.8859675033852
2011-12-25,2011-2012,Türkmenköy ASK,1446.843431844668
2011-12-25,2011-2012,Baf Ülkü Yurdu,1287.0299967801648
2011-12-25,2011-2012,Esentepe KSKK,1452.312916665366
2011-12-25,2011-2012,Dumlupınar TSK,1320.8150712376623
2011-12-25,2011-2012,Çanakkale TSK,1171.2891817972343
2011-12-25,2011-2012,Gençlik Gücü TSK,1532.7913382231513
2011-12-25,2011-2012,Mormenekşe GBSK,1511.6695360190681
2011-12-25,2011-2012,Binatlı YSK,1378.3447732810773
2012-01-28,2011-2012,Lefke TSK,1428.0688660147607
2012-01-28,2011-2012,Türk Ocağı Limasol SK,1373.2216138805538
2012-01-28,2011-2012,Cihangir GSK,1453.946748322248
2012-01-28,2011-2012,Göçmenköy İYSK,1310.0788199457434
2012-01-28,2011-2012,Yenicami AK,1530.0419553998415
2012-01-28,2011-2012,Gönyeli SK,1301.732970387151
2012-01-28,2011-2012,Doğan Türk Birliği,1431.4587613667334
2012-01-28,2011-2012,Bostancı Bağcıl SK,1428.9167287326845
2012-01-28,2011-2012,Hamitköy ŞHSK,1407.214897420375
2012-01-28,2011-2012,Dumlupınar TSK,1297.742006355055
2012-01-28,2011-2012,Serdarlı GB,1507.1032839884328
2012-01-28,2011-2012,Baf Ülkü Yurdu,1271.8353029727928
2012-01-28,2011-2012,Çanakkale TSK,1143.9798982394889
2012-01-28,2011-2012,Ozanköy SK,1355.4478813182686
2012-01-29,2011-2012,Küçük Kaymaklı TSK,1575.737869056172
2012-01-29,2011-2012,Çetinkaya TSK,1617.4050856063316
2012-01-29,2011-2012,Bellapais Tatlısu HOSK,1357.576901062142
2012-01-29,2011-2012,Lapta Türk Birliği SK,1331.221058600086
2012-01-29,2011-2012,Mağusa Türk Gücü,1541.547067508415
2012-01-29,2011-2012,Düzkaya KOSK,1232.0144455628085
