TEAMS
Çetinkaya TSK
Küçük Kaymaklı TSK
Lapta Türk Birliği SK
Bellapais Tatlısu HOSK
Bostancı Bağcıl SK
Doğan Türk Birliği
Düzkaya KOSK
Mağusa Türk Gücü
Görneç KSK
Binatlı YSK
Ozanköy SK
Çanakkale TSK
Gençlik Gücü TSK
Alsancak Yeşilova SK
Türk Ocağı Limasol SK
Lefke TSK
Gönyeli SK
Yenicami AK
Göçmenköy İYSK
Cihangir GSK
Yonpaş Dumlupınar TSK
Hamitköy ŞHSK
Yeni Mesarya Türkmenköy ASK
Mormenekşe GBSK
Yeniboğaziçi DSK
Esentepe KSKK
Baf Ülkü Yurdu
Serdarlı GB
Yalova SK
Vadili TÇBSK
DND L. Gençler Birliği SK
Değirmenlik Spor Kulübü
Akıncılar GSK
Geçitkale GSK
Denizli SK
GAÜ Çetinkaya TSK
M. Karşıyaka ASK
Girne Halk Evi SK
Mehmetçik TÇBSK
German Gold Akova Vuda TÇBSK
Mesarya SK
Dipkarpaz SK
Maraş GSK
Doğancı SK
Dumlupınar TSK
Dörtyol SK
İncirli SK
China Bazaar Gençlik Gücü TSK
Değirmenlik SK
M. Hacıali Yılmazköy SK
Pera L. Gençler Birliği SK
Karşıyaka SK
Yenierenköy TSK
Kozanköy KSK
Aslanköy GSD
Kaplıca Karadeniz 61 SK
Çello Dikmen Gücü SK
Karaoğlanoğlu SK
Akdoğan SK
MATCHES
lg,date,time,mid,h,a,hg,ag,forfeit
1,20111211,1400,1421,18,4,1,1,0
1,20111211,1400,1422,5,0,0,5,0
1,20111211,1400,1423,15,1,3,0,0
2,20111211,1400,1491,21,8,2,4,0
2,20111211,1400,1492,11,9,0,1,0
2,20111211,1400,1493,13,23,1,5,0
1,20111217,1400,1432,14,17,2,3,0
1,20111217,1400,1433,4,7,2,2,0
1,20111217,1400,1434,16,18,2,0,0
1,20111217,1400,1435,1,3,4,2,0
2,20111217,1400,1501,8,11,1,0,0
2,20111217,1400,1502,10,25,1,2,0
2,20111217,1400,1503,24,22,0,0,0
1,20111218,1400,1431,0,15,2,0,0
1,20111218,1400,1436,2,5,0,1,0
1,20111218,1400,1437,19,6,2,1,0
2,20111218,1400,1504,9,13,2,0,0
2,20111218,1400,1505,12,21,0,2,0
2,20111218,1400,1506,20,27,2,2,0
2,20111218,1400,1507,23,26,2,0,0
1,20111224,1400,1445,7,16,2,1,0
1,20111224,1400,1446,17,4,1,1,0
1,20111224,1400,1447,3,0,0,1,0
1,20111224,1400,1448,18,6,4,0,0
1,20111224,1400,1449,5,14,1,3,0
1,20111224,1400,1450,15,2,1,1,0
1,20111224,1400,1451,19,1,2,1,0
2,20111225,1400,1515,27,24,8,0,0
2,20111225,1400,1516,21,10,3,3,0
2,20111225,1400,1517,13,8,1,1,0
2,20111225,1400,1518,22,26,3,2,0
2,20111225,1400,1519,25,20,5,0,0
2,20111225,1400,1520,11,12,1,5,0
2,20111225,1400,1521,23,9,3,2,0
2,20120121,1130,1523,21,10,4,1,0
2,20120121,1400,1526,25,20,2,1,0
1,20120122,1130,1236,17,15,1,2,0
1,20120128,1400,1845,15,14,1,1,0
1,20120128,1400,1846,19,18,2,2,0
1,20120128,1400,1848,17,16,3,1,0
1,20120128,1400,1850,5,4,2,2,0
2,20120128,1400,1929,21,20,4,1,0
2,20120128,1400,1930,27,26,7,1,0
2,20120128,1400,1931,11,10,0,4,0
1,20120129,1400,1847,1,0,2,0,0
1,20120129,1400,1849,3,2,2,0,0
1,20120129,1400,1851,7,6,2,1,0
2,20120129,1400,1932,23,22,0,0,0
2,20120129,1400,1933,25,24,3,1,0
2,20120129,1400,1934,9,8,1,1,0
2,20120129,1400,1935,13,12,2,3,0
1,20120203,1800,1859,0,19,2,1,0
1,20120204,1400,1860,2,1,0,1,0
1,20120204,1400,1861,18,7,1,1,0
1,20120204,1400,1863,6,17,1,0,0
2,20120204,1400,1944,8,23,4,1,0
2,20120204,1400,1945,10,13,2,2,0
2,20120204,1400,1946,26,25,1,0,0
1,20120205,1400,1862,14,3,2,1,0
1,20120205,1400,1864,16,5,0,3,0
1,20120205,1400,1865,4,15,1,3,0
2,20120205,1400,1943,12,9,5,1,0
2,20120205,1400,1947,22,27,0,0,0
2,20120205,1400,1948,20,11,0,0,0
2,20120205,1400,1949,24,21,0,1,0
1,20120210,1800,1873,17,18,2,1,0
1,20120211,1400,1874,1,14,0,0,0
1,20120211,1400,1875,15,16,4,0,0
1,20120211,1400,1876,3,4,1,3,0
2,20120211,1400,1957,11,24,0,1,0
2,20120211,1400,1958,8,12,3,1,0
2,20120211,1400,1959,13,20,1,1,0
2,20120211,1400,1960,25,22,1,1,0
1,20120212,1400,1877,19,7,0,0,0
